id,blog_post_id,source_urls,prompt_used,model_used,generated_at,template_id,input_tokens,output_tokens,total_tokens,image_tokens
"95e4d901-fea7-441d-9356-97cb02faef3b","241cdfcb-956b-4fde-bed5-5cffb68d99e7","","Multi-Event Article: Parador Pascoa 2026 (3 eventos)","google/gemini-2.5-flash","2026-02-11T15:28:26.529868+00:00","",1250,3055,4305,""
"cc1775eb-9dc2-40e7-a586-a98888f2984d","52b8584e-35af-4f7c-85c4-dacbf0f3e200","","","google/gemini-2.5-flash","2025-11-19T12:42:56.214789+00:00","","","","",""
"e5877d1f-47ca-4d44-9023-cf5f8490878d","9f814749-93ec-43f1-9d5e-ca52172a24da","","","google/gemini-2.5-flash","2025-11-19T14:10:20.104652+00:00","b9f597c9-c8ff-4255-8a18-5b3724cfc731","","","",""
"cd421f8f-58d2-4fb4-bb72-b401ae2b3bdf","9b1caa2c-cdc8-47e7-b438-4e9e2a30e692","","Template: Sugestões Aleatórias - Cena Eletrônica | title: Moonphazes Remix: O Talento Brasileiro que Reimagi | summary: Conheça Moonphazes, o produtor brasileiro que conq | category: Produtores | keywords: Moonphazes, Benny Benassi, Satisfaction, remix, mú | mood: energético | visualElements: Foto do Moonphazes em estúdio, capa do single, ima","google/gemini-2.5-flash","2026-02-12T07:01:21.026907+00:00","7fe3924f-1420-4ec5-9305-8725afb7555f",1219,1245,2464,1630
"efc49be1-e94b-482e-94d2-96c609668a8e","11ebdbfb-26a1-48bd-9072-36b7ebb418a4","","Multi-Event Article: De Repente Carnaval 2026 SP (4 eventos)","google/gemini-2.5-flash","2026-02-12T12:03:33.244271+00:00","",1484,3882,5366,""
"af3b8883-8020-4afa-9a18-65ca3a17cb6f","a06d466c-0e6c-41b8-8078-a5db6ed3ba9e","","Multi-Event Article: Ame Laroc Festival Carnaval 2026 (3 eventos)","google/gemini-2.5-flash","2026-01-28T11:06:27.219327+00:00","",1476,4171,5647,""
"8263290f-8548-4eb7-a0df-09c8762cf8e8","4c23dae5-0385-4abc-ad1e-abb496d8df87","","","openai/gpt-5-mini","2025-12-09T11:03:48.011323+00:00","7fe3924f-1420-4ec5-9305-8725afb7555f",3313,2351,5664,1631
"ecfb7a61-5ae8-49a6-9a36-005c3c445b8a","5a605ca4-a611-4c15-8ab4-29a3641b5331","","","openai/gpt-5-mini","2025-12-09T12:03:48.179558+00:00","7fe3924f-1420-4ec5-9305-8725afb7555f",3781,2473,6254,1573
"e4b9169d-e03d-4c53-9d10-32fb48d21237","8a451569-144b-469b-96d2-d40f74cc815b","","","openai/gpt-5-mini","2025-12-09T13:03:56.809232+00:00","7fe3924f-1420-4ec5-9305-8725afb7555f",3793,2178,5971,1563
"84e0eca3-f464-4cba-b54f-4eada78d3232","fed8d750-ff49-42fd-9d1e-9c4dc95a5060","","","openai/gpt-5-mini","2025-12-09T14:03:35.39109+00:00","7fe3924f-1420-4ec5-9305-8725afb7555f",3316,1782,5098,1566
"57598bd7-fd99-4bc7-959e-8367cbd210e6","809f35e9-3cd8-44f0-a062-395a8794f285","","","openai/gpt-5-mini","2025-12-09T15:04:36.156297+00:00","7fe3924f-1420-4ec5-9305-8725afb7555f",3795,2853,6648,1562
"4dd11d5f-21b6-47be-939e-e07b25820687","a4bf069c-4248-4599-894d-5b2bb6d75ad4","","","openai/gpt-5-mini","2025-12-09T16:03:11.854882+00:00","7fe3924f-1420-4ec5-9305-8725afb7555f",915,2141,3056,1689
"7a89839e-82d2-4650-9c45-83e0736f1e75","876235b8-b410-463d-8d47-863e07997b69","","","openai/gpt-5-mini","2025-12-11T17:01:59.629418+00:00","7fe3924f-1420-4ec5-9305-8725afb7555f",847,1603,2450,1577
"a49234fa-e382-408a-85cf-8fe47bf0d5e5","508877b6-93bf-4064-b862-d45973f27eb9","","","openai/gpt-5-mini","2025-12-11T22:31:06.149854+00:00","b9f597c9-c8ff-4255-8a18-5b3724cfc731",1333,2391,3724,""
"d7619c43-1aaf-4f81-a567-5e228af54568","ed1c7bf6-af44-4257-9c12-bdd43e4f16e5","","","openai/gpt-5-mini","2025-12-12T17:45:52.534209+00:00","b9f597c9-c8ff-4255-8a18-5b3724cfc731",1338,2966,4304,""
"5d3484da-ea8f-410c-92ee-f941fee803b2","5e799652-c694-4279-a6d8-ed9ab6d67c57","","","openai/gpt-5-mini","2025-12-13T17:02:23.464643+00:00","7fe3924f-1420-4ec5-9305-8725afb7555f",870,2128,2998,1697
"3923ba22-27bc-44b5-a912-3d3871b80f73","9e8f9153-38ba-42c2-afdb-5a90400745e2","","Template: Evento Padrão | eventId: ae6afbc9-7ee5-45eb-b5f4-4a60230f6de9 | eventName: 🟣 After Oficial Bloco do Dre | eventDate: 2026-04-16 | eventTime: 18:00 | eventLocation: Side - São Paulo/SP | venue: Side | location: São Paulo, SP | genres: Open Format, Eletrônica | ticketLink: postcontrol.com.br/mdaccula/lista/afterdre1604 | description: VIP válido até as 21:00 ou até limite da casa | lineup: 🔊 Dre Guazzelli, Paul Lomax 🇪🇸, Caio & Kallel,  | eventImageUrl: https://nzbyyuqvhrwatmydxiag.supabase.co/storage/v","google/gemini-2.5-flash","2026-02-14T03:26:07.929219+00:00","b9f597c9-c8ff-4255-8a18-5b3724cfc731",1639,792,2431,""
"d11e849a-4210-474d-a5a0-9bc01f4c09bb","4767aed4-eb3a-4bf4-a4d5-2609d3b8adfe","","Template: Sugestões Aleatórias - Cena Eletrônica | title: RMX-IGNITE: A revolução dos efeitos ao vivo para D | summary: A AlphaTheta lançou o RMX-IGNITE, um novo efetor q | category: Tecnologia | keywords: AlphaTheta, RMX-IGNITE, efeitos DJ, live performan | mood: futurista | visualElements: Imagens do RMX-IGNITE em ação, gráficos futuristas","google/gemini-2.5-flash","2026-01-29T02:00:55.995459+00:00","7fe3924f-1420-4ec5-9305-8725afb7555f",1096,1224,2320,1673
